    SN,Loan_ID,Name,Trans_score,Urban,Gender,Age,CoapplicantIncome,Dependents,Self_Employed,Credit_History,ApplicantIncome,Loan_Status
1,LP001002,Alex,619,Urban,Female,42,0,1,1,1,5849,1
2,LP001003,AARON,608,Urban,Female,41,1508,1,0,1,4583,0
3,LP001005,ABBIE,502,Urban,Female,42,0,3,1,0,3000,1
4,LP001006,ABBOTT,699,Urban,Female,39,2358,2,0,0,2583,0
5,LP001008,ABBRA,850,Urban,Female,43,0,1,1,1,6000,0
6,LP001011,ABBY,645,Semiurban,Male,44,4196,2,1,0,5417,1
7,LP001013,ABE,822,Rural,Male,50,1516,2,1,1,2333,0
8,LP001014,ABEL,376,Urban,Female,29,2504,4,1,0,3036,1
9,LP001018,ABENI,501,Semiurban,Male,44,1526,2,0,1,4006,0
10,LP001020,ABIA,684,Urban,Male,27,10968,1,1,1,12841,0
11,LP001024,ABIBA,528,Semiurban,Male,31,700,2,0,0,3200,0
12,LP001027,ABIE,497,Urban,Male,24,1840,2,1,0,2500,0
13,LP001028,ABIGAIL,476,Semiurban,Female,34,8106,2,1,0,3073,0
14,LP001029,ABNER,549,Semiurban,Female,25,2840,2,0,0,1853,0
15,LP001030,ABRAHAM,635,Urban,Female,35,1086,2,1,1,1299,0
16,LP001032,ABRAM,616,Urban,Male,45,0,2,0,1,4950,0
17,LP001034,ABRIANNA,653,Semiurban,Male,58,0,1,1,0,3596,1
18,LP001036,ABRIENDA,549,Urban,Female,24,0,2,1,1,3510,0
19,LP001038,ABRIL,587,Semiurban,Male,45,0,1,0,0,4887,0
20,LP001041,ABSOLOM,726,Urban,Female,24,3500,2,1,1,2600,0
21,LP001043,ABU,732,Urban,Male,41,0,2,1,1,7660,0
22,LP001046,ACACIA,636,Urban,Female,32,5625,2,1,0,5955,0
23,LP001047,ACE,510,Urban,Female,38,1911,1,1,0,2600,1
24,LP001050,ADA,669,Urban,Male,46,1917,2,0,1,3365,0
25,LP001052,ADAH,846,Rural,Female,38,2925,1,1,1,3717,0
26,LP001066,ADAIR,577,Urban,Male,25,0,2,0,1,9560,0
27,LP001068,ADALIA,756,Urban,Male,36,2253,1,1,1,2799,0
28,LP001073,ADAM,571,Semiurban,Male,44,1040,2,0,0,4226,0
29,LP001086,ADAMINA,574,Urban,Female,43,0,1,1,1,1442,0
30,LP001087,ADAMMA,411,Semiurban,Male,29,2083,2,1,1,3750,0
31,LP001091,ADARA,591,Urban,Female,39,3369,3,1,0,4166,1
32,LP001095,ADDISON,533,Semiurban,Male,36,0,1,0,1,3167,0
33,LP001097,ADE,553,Urban,Male,41,0,2,0,0,4692,0
34,LP001098,ADELA,520,Urban,Female,42,1667,2,1,1,3500,0
35,LP001100,ADELAIDE,722,Semiurban,Female,29,3000,2,1,1,12500,0
36,LP001106,ADELE,475,Urban,Female,45,2067,1,1,0,2275,1
37,LP001109,ADELINE,490,Urban,Male,31,1330,1,0,1,1828,0
38,LP001112,ADELIO,804,Urban,Male,33,1459,1,0,1,3667,0
39,LP001114,ADELLE,850,Urban,Male,36,7210,1,1,1,4166,0
40,LP001116,ADEM,582,Urban,Male,41,1668,2,0,1,3748,0
41,LP001119,ADEN,472,Urban,Male,40,0,1,1,0,3600,0
42,LP001120,ADERES,465,Semiurban,Female,51,1213,1,0,0,1800,1
43,LP001123,ADIE,556,Semiurban,Female,61,0,1,1,1,2400,0
44,LP001131,ADIEL,834,Urban,Female,49,2336,1,0,0,3941,1
45,LP001136,ADILA,660,Urban,Female,61,0,1,1,1,4695,0
46,LP001137,ADINA,776,Urban,Female,32,0,2,1,1,3410,0
47,LP001138,ADITA,829,Semiurban,Female,27,0,1,1,1,5649,1
48,LP001144,ADLAI,637,Urban,Female,39,0,1,1,1,5821,1
49,LP001146,ADLI,550,Semiurban,Male,38,3440,1,0,1,2645,0
50,LP001151,ADOLFO,776,Urban,Female,37,2275,2,1,0,4000,0
51,LP001155,ADOLPH,698,Semiurban,Male,44,1644,2,1,0,1928,0
52,LP001157,ADONAI,585,Semiurban,Male,36,0,2,0,0,3086,0
53,LP001164,ADONIA,788,Urban,Female,33,0,2,0,0,4230,0
54,LP001179,ADORA,655,Urban,Male,41,0,1,0,0,4616,1
55,LP001186,ADRIAN,601,Urban,Male,42,0,1,1,0,11500,1
56,LP001194,ADRIANA,619,Rural,Male,43,1167,1,1,1,2708,0
57,LP001195,ADRIANO,656,Semiurban,Male,45,1591,1,1,0,2132,0
58,LP001197,ADRIENNE,725,Semiurban,Male,19,2200,1,0,0,3366,0
59,LP001198,ADY,511,Semiurban,Female,66,2250,1,1,0,8080,1
60,LP001199,AELAN,614,Semiurban,Male,51,2859,1,1,1,3357,0
61,LP001205,AFFRICA,742,Urban,Male,35,3796,1,0,0,2500,0
62,LP001206,AFRA,687,Semiurban,Female,27,0,2,0,0,3029,0
63,LP001207,AFRIC,555,Rural,Male,33,3449,2,0,0,2609,0
64,LP001213,AFRICA,684,Urban,Male,56,0,1,1,1,4945,0
65,LP001222,AFTON,603,Semiurban,Male,26,0,1,1,1,4166,0
66,LP001225,AGAMEMNON,751,Semiurban,Female,36,4595,2,1,1,5726,0
67,LP001228,AGATHA,581,Semiurban,Female,34,2254,1,1,0,3200,0
68,LP001233,AGGIE,735,Semiurban,Male,43,0,2,1,1,10750,0
69,LP001238,AGNES,661,Rural,Female,35,0,2,0,1,7100,0
70,LP001241,AH CY,675,Semiurban,Female,21,0,1,1,0,4300,0
71,LP001243,AHAVA,738,Semiurban,Male,58,3066,4,1,0,3208,1
72,LP001245,AI,813,Urban,Male,29,1875,1,1,0,1875,0
73,LP001248,AIDA,657,Rural,Female,37,0,1,0,1,3500,0
74,LP001250,AIDAN,604,Semiurban,Female,25,0,2,1,1,4755,0
75,LP001253,AIKO,519,Urban,Male,36,1774,2,0,1,5266,0
76,LP001255,AILEEN,735,Urban,Female,21,0,2,1,0,3750,0
77,LP001256,AILIS,664,Rural,Male,55,4750,2,1,1,3750,0
78,LP001259,AILISH,678,Semiurban,Female,32,3022,1,1,1,1000,0
79,LP001263,AIMEE,757,Urban,Male,33,4000,1,0,1,3167,0
80,LP001264,AINE,416,Urban,Female,41,2166,2,1,0,3333,0
81,LP001265,AINSLEY,665,Urban,Female,34,0,2,0,0,3846,0
82,LP001266,AISLING,777,Rural,Female,32,0,1,1,0,2395,1
83,LP001267,AISLINN,543,Rural,Female,36,1881,2,0,0,1378,0
84,LP001273,AIZZA,506,Semiurban,Female,34,2250,1,1,1,6000,0
85,LP001275,AJA,493,Rural,Female,46,0,2,1,0,3988,0
86,LP001279,AJANI,652,Urban,Female,75,2531,2,1,1,2366,0
87,LP001280,AJAY,750,Semiurban,Male,22,2000,1,1,0,3333,1
88,LP001282,AKILI,729,Semiurban,Male,30,2118,2,1,0,2500,0
89,LP001289,AKUJI,646,Rural,Female,46,0,3,1,0,8566,1
90,LP001310,AL,635,Rural,Female,28,4167,2,1,1,5695,0
91,LP001316,ALAIR,647,Rural,Female,44,2900,3,1,1,2958,1
92,LP001318,ALAKE,808,Semiurban,Male,45,5654,2,1,0,6250,0
93,LP001319,ALAN,524,Semiurban,Female,36,1820,2,1,0,3273,0
94,LP001322,ALANA,769,Semiurban,Male,29,0,2,1,1,4133,0
95,LP001325,ALANNA,730,Semiurban,Male,42,0,2,0,1,3620,0
96,LP001326,ALASTAIR,515,Urban,Male,35,0,1,0,1,6782,0
97,LP001327,ALAURA,773,Semiurban,Male,41,2302,1,0,1,2484,0
98,LP001333,ALBAN,814,Urban,Male,29,997,2,1,1,1977,0
99,LP001334,ALBANY,710,Semiurban,Male,22,0,2,0,0,4188,0
100,LP001343,ALBERT,413,Rural,Male,34,3541,2,0,0,1759,0
101,LP001345,ALBERTA,665,Semiurban,Female,40,3263,1,1,1,4288,0
102,LP001349,ALBERTO,623,Urban,Female,44,3806,2,0,0,4843,0
103,LP001350,ALBIN,738,Rural,Male,31,0,1,1,0,13650,0
104,LP001356,ALBINA,528,Semiurban,Male,36,3583,2,1,0,4652,0
105,LP001357,ALDA,670,Semiurban,Female,65,754,1,1,1,3816,1
106,LP001367,ALDAN,622,Urban,Female,46,1030,2,1,1,3052,1
107,LP001369,ALDEN,582,Rural,Male,32,1126,1,1,1,11417,0
108,LP001370,ALDON,785,Semiurban,Female,36,0,1,0,1,7333,0
109,LP001379,ALDONA,605,Urban,Male,33,3600,1,0,0,3800,0
110,LP001384,ALEC,479,Semiurban,Male,35,754,1,1,0,2071,1
111,LP001385,ALEJANDRO,685,Semiurban,Male,30,0,1,0,1,5316,0
112,LP001387,ALEM,538,Urban,Male,39,2333,2,1,0,2929,0
113,LP001391,ALENA,562,Semiurban,Male,42,4114,1,0,0,3572,0
114,LP001392,ALETA,675,Rural,Male,36,0,1,0,1,7451,0
115,LP001398,ALETHA,721,Semiurban,Male,28,0,2,0,1,5050,1
116,LP001401,ALETHEA,628,Semiurban,Female,30,0,2,1,1,14583,0
117,LP001404,ALETTA,668,Rural,Female,37,2283,1,1,0,3167,0
118,LP001405,ALEX,506,Urban,Female,41,1398,2,1,0,2214,0
119,LP001421,ALEXA,524,Rural,Female,31,2142,1,1,0,5568,1
120,LP001422,ALEXANDER,699,Urban,Male,34,0,2,1,0,10408,0
121,LP001426,ALEXANDRA,828,Rural,Male,34,2667,2,0,0,5667,0
122,LP001430,ALEXANDRIA,674,Urban,Male,39,0,1,0,0,4166,0
123,LP001431,ALEXIA,656,Rural,Female,39,8980,2,1,0,2137,0
124,LP001432,ALEXIS,684,Urban,Female,48,0,1,1,1,2957,0
125,LP001439,ALFONSO,625,Semiurban,Female,28,2014,1,0,0,4300,0
126,LP001443,ALFRED,432,Urban,Male,42,0,1,1,0,3692,1
